Package Name,Version
alee-fonts,13.3
alembic,1.8.8
alevt,1.8.1
alex,3.5.1.0
aliftype-amiri-fonts,1.000
aliyun-cli,3.1.5
alkimia,8.2.0
alligator,25.04.3
alloy,1.12.2
almanah,0.12.3
alpine,2.26
alsa,1.2.14
alsa-firmware,1.2.4
alsa-oss,1.1.8
alsa-plugins,1.2.12
alsa-tools,1.2.15
alsa-ucm-conf,1.2.14
alsa-utils,1.2.14
amarok,3.3.2
amavisd-new,2.13.0
amazon-dracut-config,0.0.4
amazon-ecs-init,1.64.0
amazon-ssm-agent,3.3.2299.0
amber-cli,0.3.0+git20230728.955f78d
amdctl,0.11
amdgpu_top,0.9.2
aml,0.3.0
amsynth,1.13.4
amtterm,1.7
analitza,25.04.3
ancient,2.2.0
android-file-transfer-linux,4.3.0~git.20240730T195303.cf7036c7f7df
android-tools,35.0.2
android-udev-rules,20250525
angelfish,25.04.3
ansible,13.3.0
ansible-core,2.20.2
ansible-linux-system-roles,1.0.0
ansible-sap-infrastructure,1.3.1
ansible-sap-install,1.6.0
ansible-sap-launchpad,1.3.1
ansible-sap-operations,0.9.1
ansible-sap-playbooks,1.2.0
ansible-trento,1.0.0
ansifilter,2.21
ansilove,4.2.0
ansilove-term,0.0.0+git.20190908
ant,1.10.15
ant-antlr,1.10.15
ant-contrib,1.0b3
ant-junit,1.10.15
ant-junit5,1.10.15
anthy,9100h
antimicrox,3.4.1
antlr,2.7.7
antlr-bootstrap,2.7.7
antlr3,3.5.3
antlr3-bootstrap,3.5.3
antlr3-java,3.5.3
antlr3c,3.4
aopalliance,1.0
apache-commons-beanutils,1.11.0
apache-commons-chain,1.2
apache-commons-cli,1.10.0
apache-commons-codec,1.18.0
apache-commons-collections,3.2.2
apache-commons-collections4,4.4
apache-commons-compress,1.26.1
apache-commons-configuration2,2.10.1
apache-commons-daemon,1.4.1
apache-commons-dbcp,2.1.1
apache-commons-dbcp1,1.4
apache-commons-digester,2.1
apache-commons-el,1.0
apache-commons-email,1.5
apache-commons-exec,1.3
apache-commons-fileupload,1.5
apache-commons-httpclient,3.1
apache-commons-imaging,1.0~alpha2
apache-commons-io,2.21.0
