package,commit_sha,ubuntu_2404_version,ubuntu_2604_version,ubuntu_2404_apt_version_at_check,_apt_fetch_error,ubuntu_component,ubuntu_2404_patch_method,patch_marker_found,_marker_quality,_debian_query_attempted,debian_cve_statuses,cve_assigned,cve_ids,usn_published,usn_ids,ubuntu_2404_actually_patched,vuln_confirmed,severity,backport_feasibility,maintenance_gap_type,_review_flags,upstream_commit,upstream_2404_tag_url,ubuntu_changelog_changelogs_org,ubuntu_changelog_package_overview,first_cve_page,first_usn_page,upstream_issue_search,q1_upstream_commit,q2_upstream_source,q3_ubuntu_changelog
ffmpeg,a048a8055410e07a09a274ca01ad9617c0ae4fc0,7:6.1.1-3ubuntu5,7:8.0.1-3ubuntu2,7:6.1.1-3ubuntu5,,universe,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/FFmpeg/FFmpeg/commit/a048a8055410e07a09a274ca01ad9617c0ae4fc0,https://github.com/FFmpeg/FFmpeg/tree/n6.1.1,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog,https://launchpad.net/ubuntu/+source/ffmpeg/+changelog,,,https://github.com/FFmpeg/FFmpeg/issues?q=avcodec/exr,https://github.com/FFmpeg/FFmpeg/commit/a048a8055410e07a09a274ca01ad9617c0ae4fc0,https://github.com/FFmpeg/FFmpeg/blob/v6.1.1/libavcodec/exr.c,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog
ffmpeg,a130ed479b749da9ce5f720d21be4b58ed9d93af,7:6.1.1-3ubuntu5,7:8.0.1-3ubuntu2,7:6.1.1-3ubuntu5,,universe,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/FFmpeg/FFmpeg/commit/a130ed479b749da9ce5f720d21be4b58ed9d93af,https://github.com/FFmpeg/FFmpeg/tree/n6.1.1,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog,https://launchpad.net/ubuntu/+source/ffmpeg/+changelog,,,https://github.com/FFmpeg/FFmpeg/issues?q=avcodec/vlc,https://github.com/FFmpeg/FFmpeg/commit/a130ed479b749da9ce5f720d21be4b58ed9d93af,https://github.com/FFmpeg/FFmpeg/blob/v6.1.1/libavcodec/vlc.c,https://changelogs.ubuntu.com/changelogs/pool/universe/f/ffmpeg/ffmpeg_7:6.1.1-3ubuntu5/changelog
libarchive-dev,c8ea1e5da2a6ab54935aa5659a6eb569840a0704,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,LOW,Trivial,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/c8ea1e5da2a6ab54935aa5659a6eb569840a0704,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2813,https://github.com/libarchive/libarchive/commit/c8ea1e5da2a6ab54935aa5659a6eb569840a0704,https://github.com/libarchive/libarchive/blob/v3.7.2/tar/write.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,82b57a9740aa6d084edcf4592a3b8e49f63dec98,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Trivial,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/82b57a9740aa6d084edcf4592a3b8e49f63dec98,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2768,https://github.com/libarchive/libarchive/commit/82b57a9740aa6d084edcf4592a3b8e49f63dec98,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_read_support_format_lha.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,ed84daf889902c472db860f44cdf506d956f1fb4,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,quilt_patch,True,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],True,True,MEDIUM,Easy,Trigger_Gap,"[""CONFIDENCE_LOW: ubuntu_2404_actually_patched=true with no CVE and no USN — high risk of false positive (marker may match an unrelated patch context line). Manual review required.""]",https://github.com/libarchive/libarchive/commit/ed84daf889902c472db860f44cdf506d956f1fb4,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2737,https://github.com/libarchive/libarchive/commit/ed84daf889902c472db860f44cdf506d956f1fb4,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_read_support_format_tar.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,94817fa277078aa04e9727ad747746f62efdf2da,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,not_present,False,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://github.com/libarchive/libarchive/commit/94817fa277078aa04e9727ad747746f62efdf2da,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2729,https://github.com/libarchive/libarchive/commit/94817fa277078aa04e9727ad747746f62efdf2da,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_write.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libarchive-dev,7c0980ee6c1c16efde1e8879c55185bfc8ad289e,3.7.2-2,3.8.5-1ubuntu2,3.7.2-2ubuntu0.6,,main,none,False,post_fix_only,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,LOW,Trivial,Trigger_Gap,"[""MARKER_POST_FIX_ONLY""]",https://github.com/libarchive/libarchive/commit/7c0980ee6c1c16efde1e8879c55185bfc8ad289e,https://github.com/libarchive/libarchive/tree/v3.7.2,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog,https://launchpad.net/ubuntu/+source/libarchive/+changelog,,,https://github.com/libarchive/libarchive/issues?q=#2742,https://github.com/libarchive/libarchive/commit/7c0980ee6c1c16efde1e8879c55185bfc8ad289e,https://github.com/libarchive/libarchive/blob/v3.7.2/libarchive/archive_parse_date.c,https://changelogs.ubuntu.com/changelogs/pool/main/liba/libarchive/libarchive_3.7.2-2ubuntu0.6/changelog
libgnutls28-dev,80db5e90fa18d3e34bb91dd027bdf76d31e93dcd,3.8.3-1.1ubuntu3,3.8.12-2ubuntu1,3.8.3-1.1ubuntu3.5,,main,quilt_patch,True,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],True,True,MEDIUM,Hard,Trigger_Gap,"[""CONFIDENCE_LOW: ubuntu_2404_actually_patched=true with no CVE and no USN — high risk of false positive (marker may match an unrelated patch context line). Manual review required.""]",https://gitlab.com/gnutls/gnutls/-/commit/80db5e90fa18d3e34bb91dd027bdf76d31e93dcd,https://gitlab.com/gnutls/gnutls/-/tree/3.8.3,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog,https://launchpad.net/ubuntu/+source/gnutls28/+changelog,,,https://gitlab.com/gnutls/gnutls/-/issues/?search=x509/name_constraints,https://gitlab.com/gnutls/gnutls/-/commit/80db5e90fa18d3e34bb91dd027bdf76d31e93dcd,https://gitlab.com/gnutls/gnutls/-/blob/v3.8.3/lib/x509/name_constraints.c,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog
libgnutls28-dev,6db7da7fcfe230f445b1edbb56e2a8346120c891,3.8.3-1.1ubuntu3,3.8.12-2ubuntu1,3.8.3-1.1ubuntu3.5,,main,quilt_patch,True,pre_fix_code,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],True,True,HIGH,Easy,Trigger_Gap,"[""CONFIDENCE_LOW: ubuntu_2404_actually_patched=true with no CVE and no USN — high risk of false positive (marker may match an unrelated patch context line). Manual review required.""]",https://gitlab.com/gnutls/gnutls/-/commit/6db7da7fcfe230f445b1edbb56e2a8346120c891,https://gitlab.com/gnutls/gnutls/-/tree/3.8.3,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog,https://launchpad.net/ubuntu/+source/gnutls28/+changelog,,,https://gitlab.com/gnutls/gnutls/-/issues/?search=x509/name_constraints,https://gitlab.com/gnutls/gnutls/-/commit/6db7da7fcfe230f445b1edbb56e2a8346120c891,https://gitlab.com/gnutls/gnutls/-/blob/v3.8.3/lib/x509/name_constraints.c,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog
libgnutls28-dev,ccd6b26de50f90fa7476dd35a2cb895836c72c60,3.8.3-1.1ubuntu3,3.8.12-2ubuntu1,3.8.3-1.1ubuntu3.5,,main,not_present,False,shared_context,True,"{""_error"": ""non_json_response"", ""_content_type"": ""text/html; charset=UTF-8""}",False,[],False,[],False,True,HIGH,Easy,Trigger_Gap,[],https://gitlab.com/gnutls/gnutls/-/commit/ccd6b26de50f90fa7476dd35a2cb895836c72c60,https://gitlab.com/gnutls/gnutls/-/tree/3.8.3,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog,https://launchpad.net/ubuntu/+source/gnutls28/+changelog,,,https://gitlab.com/gnutls/gnutls/-/issues/?search=avoid,https://gitlab.com/gnutls/gnutls/-/commit/ccd6b26de50f90fa7476dd35a2cb895836c72c60,https://gitlab.com/gnutls/gnutls/-/blob/v3.8.3/lib/x509/common.c,https://changelogs.ubuntu.com/changelogs/pool/main/g/gnutls28/gnutls28_3.8.3-1.1ubuntu3.5/changelog
